Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
49.4,0.214,0.397,0.15,0.141,0.0974
41.5,0.261,0.438,0.138,0.112,0.0512
42.3,0.251,0.446,0.139,0.109,0.055
43.3,0.239,0.432,0.144,0.12,0.0646
32.5,0.303,0.486,0.112,0.071,0.0279
49.8,0.294,0.414,0.124,0.111,0.0567
29,0.31,0.499,0.104,0.0631,0.0239
45.2,0.24,0.429,0.145,0.119,0.0672
36.2,0.285,0.458,0.122,0.0895,0.0464
64.9,0.158,0.329,0.159,0.188,0.166
27.7,0.697,0.256,0.0279,0.0138,0.00555
37.3,0.277,0.468,0.128,0.09,0.037
38.6,0.318,0.455,0.113,0.0805,0.0341
35.8,0.289,0.473,0.121,0.0796,0.0368
47.5,0.239,0.425,0.145,0.119,0.0709
37.3,0.29,0.471,0.125,0.0822,0.0329
33.9,0.307,0.482,0.112,0.0712,0.0273
43.4,0.261,0.441,0.137,0.106,0.0551
46.5,0.236,0.421,0.147,0.126,0.0696
27.7,0.707,0.251,0.0248,0.0108,0.0063
35.6,0.287,0.463,0.123,0.0874,0.04
46.2,0.245,0.427,0.14,0.12,0.0679
49.7,0.22,0.398,0.148,0.138,0.0958
35.7,0.561,0.294,0.0638,0.0558,0.0254
28.6,0.325,0.512,0.0953,0.0516,0.0167
45.6,0.245,0.423,0.142,0.122,0.0689
38.2,0.279,0.451,0.126,0.0957,0.0482
48.7,0.224,0.411,0.149,0.133,0.0837
40.4,0.258,0.444,0.136,0.105,0.0565
35.8,0.334,0.445,0.103,0.079,0.0388
45.4,0.24,0.427,0.144,0.121,0.0681
39.6,0.26,0.439,0.137,0.108,0.0557
42.6,0.26,0.433,0.136,0.113,0.0569
52.5,0.209,0.395,0.155,0.148,0.093
53.7,0.212,0.385,0.151,0.147,0.106
54.7,0.201,0.391,0.155,0.147,0.105
37.8,0.289,0.457,0.125,0.0895,0.0386
37.8,0.28,0.469,0.125,0.0864,0.04
31.1,0.313,0.49,0.107,0.0649,0.0255
39.2,0.274,0.457,0.128,0.0957,0.045
38.9,0.264,0.45,0.133,0.103,0.0502
36.4,0.188,0.472,0.158,0.118,0.0644
51.2,0.217,0.403,0.155,0.141,0.0833
35,0.293,0.467,0.123,0.084,0.0323
45.5,0.231,0.414,0.149,0.128,0.0784
34.7,0.293,0.474,0.121,0.0812,0.0307
38.9,0.269,0.438,0.13,0.105,0.0576
39.5,0.266,0.459,0.131,0.0982,0.0454
47.7,0.241,0.43,0.148,0.119,0.061
61.5,0.0665,0.256,0.168,0.23,0.28
33.9,0.286,0.487,0.124,0.0756,0.0267
31.8,0.318,0.493,0.101,0.0621,0.0257
36.9,0.56,0.291,0.0626,0.0565,0.0298
46.1,0.232,0.424,0.148,0.127,0.0689
38,0.276,0.455,0.131,0.0943,0.0447
34.5,0.29,0.48,0.12,0.0799,0.0302
34.2,0.305,0.465,0.112,0.0794,0.0389
53.3,0.202,0.379,0.158,0.156,0.105
50.2,0.219,0.4,0.152,0.142,0.0875
42.6,0.256,0.434,0.138,0.111,0.061
42.9,0.252,0.434,0.139,0.112,0.0637
51.8,0.196,0.385,0.157,0.159,0.102
35.7,0.295,0.478,0.118,0.0762,0.0327
40.2,0.261,0.445,0.13,0.102,0.0617
47.2,0.227,0.409,0.148,0.133,0.0832
36.3,0.29,0.46,0.12,0.0882,0.0425
50,0.212,0.395,0.157,0.144,0.0922
53.2,0.205,0.377,0.153,0.153,0.112
40.3,0.259,0.438,0.134,0.108,0.0603
35.6,0.301,0.472,0.112,0.0798,0.0354
40.5,0.269,0.454,0.13,0.0968,0.0496
54.4,0.199,0.375,0.154,0.157,0.114
28.9,0.328,0.498,0.0994,0.0571,0.0171
44.9,0.236,0.425,0.15,0.125,0.0647
41.6,0.268,0.442,0.132,0.104,0.0543
55.2,0.191,0.379,0.156,0.158,0.116
44.9,0.245,0.427,0.144,0.121,0.0633
28.3,0.662,0.26,0.0401,0.0273,0.0109
42.3,0.259,0.444,0.137,0.106,0.0552
39.7,0.268,0.454,0.132,0.1,0.0463
48.2,0.228,0.41,0.153,0.135,0.074
54.4,0.197,0.385,0.159,0.152,0.107
49,0.222,0.411,0.15,0.133,0.0845
51.2,0.231,0.403,0.144,0.131,0.0909
38.6,0.282,0.454,0.122,0.0922,0.0504
37.7,0.274,0.457,0.129,0.0961,0.0443
37.9,0.272,0.451,0.132,0.0998,0.0454
30.3,0.655,0.262,0.0435,0.0293,0.00965
31.4,0.314,0.487,0.107,0.0671,0.0244
39.3,0.265,0.454,0.13,0.0991,0.0514
47.9,0.232,0.418,0.146,0.126,0.0778
23.8,0.338,0.52,0.0833,0.0436,0.0151
29.1,0.315,0.499,0.103,0.0612,0.0225
24.9,0.334,0.529,0.0812,0.0408,0.0153
53.5,0.212,0.386,0.154,0.151,0.0978
44.5,0.254,0.429,0.141,0.114,0.0608
42.5,0.519,0.291,0.0738,0.0742,0.0424
35.1,0.57,0.296,0.0605,0.049,0.024
41.8,0.26,0.446,0.137,0.106,0.0516
39.8,0.104,0.436,0.24,0.154,0.066
35.8,0.11,0.452,0.234,0.145,0.0592
47.6,0.232,0.412,0.147,0.132,0.0764
30.7,0.321,0.492,0.102,0.0624,0.0219
62,0.176,0.35,0.159,0.169,0.147
52.1,0.208,0.388,0.156,0.147,0.101
45.1,0.233,0.425,0.147,0.123,0.0717
50.1,0.222,0.407,0.153,0.137,0.0811
33.1,0.313,0.486,0.105,0.0686,0.0271
29,0.323,0.508,0.0983,0.0531,0.0172
53.4,0.205,0.393,0.16,0.148,0.0929
35.9,0.621,0.258,0.0544,0.0455,0.0208
40,0.269,0.449,0.131,0.101,0.0492
36.2,0.553,0.303,0.0696,0.0478,0.0265
42.9,0.253,0.446,0.139,0.107,0.0552
53.4,0.203,0.38,0.155,0.15,0.112
35.5,0.339,0.465,0.101,0.0677,0.028
32.8,0.307,0.479,0.11,0.0741,0.0303
51.6,0.217,0.395,0.155,0.143,0.0899
53.9,0.198,0.384,0.159,0.153,0.106
42,0.259,0.442,0.139,0.108,0.0528
46.2,0.301,0.431,0.119,0.0951,0.054
31.8,0.307,0.484,0.112,0.0712,0.026
44.5,0.242,0.424,0.14,0.123,0.0709
53.1,0.216,0.393,0.154,0.148,0.0892
43.6,0.29,0.358,0.124,0.127,0.1
56.5,0.194,0.374,0.159,0.157,0.116
23.8,0.344,0.53,0.0807,0.0368,0.00883
32.2,0.596,0.299,0.0522,0.0376,0.0149
27.9,0.321,0.5,0.101,0.0589,0.0185
31,0.322,0.491,0.0994,0.0586,0.0293
41.5,0.255,0.442,0.137,0.109,0.0567
45,0.24,0.423,0.145,0.123,0.0687
49.3,0.221,0.415,0.15,0.131,0.0826
54,0.187,0.363,0.157,0.167,0.126
33.6,0.296,0.488,0.116,0.0724,0.0276
36.2,0.295,0.471,0.116,0.0829,0.0355
33,0.624,0.263,0.0507,0.0425,0.0191
37.2,0.279,0.465,0.125,0.0878,0.043
34.2,0.3,0.481,0.116,0.0748,0.0286
42.3,0.51,0.296,0.0766,0.0752,0.0418
51.2,0.224,0.396,0.145,0.137,0.0979
37.6,0.274,0.461,0.127,0.0942,0.044
38.1,0.291,0.465,0.117,0.0824,0.0443
38.7,0.268,0.456,0.131,0.0963,0.0488
36.6,0.268,0.466,0.131,0.094,0.0408
50.4,0.214,0.393,0.154,0.143,0.0959
39.4,0.267,0.452,0.129,0.101,0.0513
51.7,0.218,0.398,0.149,0.141,0.0942
42.4,0.25,0.426,0.138,0.119,0.0665
30.5,0.315,0.484,0.101,0.0666,0.0335
41.3,0.538,0.283,0.069,0.0675,0.0416
39.2,0.272,0.454,0.131,0.0978,0.0459
50.3,0.213,0.393,0.155,0.15,0.0888
49.4,0.221,0.401,0.15,0.139,0.0891
43.4,0.257,0.421,0.131,0.116,0.0742
55.2,0.197,0.379,0.157,0.156,0.11
48.6,0.144,0.397,0.173,0.167,0.119
64.1,0.156,0.339,0.167,0.189,0.148
44.7,0.24,0.439,0.143,0.114,0.0641
41.3,0.258,0.443,0.135,0.107,0.0574
50.4,0.233,0.408,0.142,0.129,0.0876
31.2,0.316,0.487,0.106,0.0671,0.0234
30.2,0.315,0.495,0.103,0.0629,0.024
43.2,0.257,0.426,0.139,0.115,0.0619
34.1,0.299,0.483,0.116,0.0745,0.0275
45.1,0.247,0.429,0.14,0.115,0.069
48.7,0.228,0.414,0.152,0.133,0.0731
34.9,0.293,0.477,0.117,0.0793,0.0333
46.7,0.241,0.421,0.142,0.122,0.0738
38.6,0.271,0.446,0.129,0.101,0.0533
35.9,0.287,0.463,0.124,0.089,0.0374
33.3,0.312,0.476,0.109,0.072,0.0305
34,0.284,0.483,0.117,0.0774,0.0375
39,0.288,0.472,0.12,0.0824,0.037
43.6,0.3,0.445,0.118,0.0923,0.0439
53.6,0.21,0.386,0.154,0.148,0.102
47.5,0.234,0.421,0.141,0.125,0.078
29.7,0.325,0.487,0.0989,0.0615,0.0271
30.6,0.31,0.491,0.108,0.0663,0.025
62.8,0.174,0.351,0.161,0.172,0.141
43,0.252,0.433,0.137,0.112,0.0665
49.4,0.216,0.401,0.155,0.145,0.0831
49.5,0.222,0.407,0.152,0.138,0.0812
31.3,0.33,0.495,0.0983,0.0565,0.0194
49.2,0.232,0.407,0.145,0.13,0.0861
38.6,0.273,0.458,0.129,0.0948,0.0455
34.4,0.29,0.484,0.12,0.078,0.0285
44.6,0.246,0.425,0.139,0.119,0.0716
37.6,0.284,0.467,0.126,0.0865,0.0366
36.1,0.29,0.466,0.121,0.0848,0.0379
38.6,0.282,0.454,0.126,0.0939,0.0447
25.2,0.344,0.514,0.0867,0.0443,0.0111
41.7,0.252,0.439,0.139,0.112,0.0584
50.3,0.221,0.396,0.15,0.139,0.0945
33.2,0.293,0.483,0.116,0.076,0.0325
32,0.309,0.495,0.106,0.0643,0.0265
58.5,0.182,0.363,0.165,0.168,0.123
46.2,0.236,0.42,0.15,0.128,0.0665
49.6,0.214,0.403,0.154,0.14,0.0884
28.1,0.606,0.309,0.0463,0.0279,0.0111
46.1,0.237,0.422,0.144,0.125,0.0727
44.1,0.24,0.423,0.142,0.123,0.0713
50.7,0.208,0.388,0.154,0.149,0.101
53.2,0.202,0.397,0.154,0.146,0.102
51.5,0.21,0.394,0.158,0.149,0.0895
63.8,0.172,0.355,0.162,0.173,0.138
57.5,0.193,0.372,0.163,0.164,0.107
37.7,0.277,0.468,0.127,0.0878,0.041
40.5,0.27,0.45,0.126,0.0992,0.0546
46.6,0.24,0.429,0.147,0.12,0.0644
37,0.285,0.465,0.124,0.0879,0.0376
37.4,0.282,0.461,0.124,0.0922,0.0405
55.3,0.204,0.387,0.155,0.15,0.104
50.3,0.217,0.4,0.151,0.143,0.0884
42.7,0.244,0.427,0.145,0.122,0.0612
52,0.218,0.392,0.151,0.146,0.0929
35.6,0.351,0.451,0.1,0.0685,0.029
42.4,0.249,0.445,0.143,0.11,0.0534
49.7,0.215,0.402,0.153,0.141,0.0891
43.6,0.254,0.431,0.142,0.116,0.0582
29,0.333,0.499,0.0946,0.0525,0.0212
43.1,0.259,0.432,0.138,0.113,0.0579
57,0.189,0.372,0.158,0.162,0.119
34.5,0.192,0.485,0.152,0.114,0.0567
35.9,0.293,0.474,0.12,0.0799,0.0332
30.7,0.31,0.495,0.104,0.0646,0.0268
53.7,0.2,0.387,0.159,0.152,0.101
35.6,0.298,0.474,0.117,0.0784,0.0322
62.4,0.18,0.356,0.158,0.17,0.136
28.1,0.321,0.507,0.0986,0.0542,0.0193
41.4,0.259,0.437,0.14,0.113,0.0516
38,0.286,0.458,0.123,0.0877,0.0449
61.8,0.167,0.356,0.171,0.178,0.127
43.4,0.263,0.44,0.139,0.107,0.0513
22.7,0.356,0.535,0.0723,0.0295,0.00735
45.5,0.23,0.425,0.148,0.127,0.0688
53.6,0.201,0.385,0.161,0.155,0.0979
55.3,0.192,0.385,0.164,0.155,0.103
63.9,0.157,0.33,0.164,0.19,0.159
39.4,0.268,0.452,0.132,0.0988,0.0499
48.5,0.231,0.405,0.141,0.133,0.0901
29.9,0.323,0.491,0.101,0.0622,0.023
40.1,0.264,0.45,0.134,0.103,0.0499
31.6,0.636,0.27,0.0473,0.0331,0.0139
50,0.222,0.411,0.152,0.134,0.0819
34.8,0.291,0.478,0.117,0.0796,0.0349
57.1,0.204,0.382,0.156,0.155,0.102
37,0.541,0.342,0.0624,0.0376,0.0178
31.3,0.327,0.489,0.0996,0.0599,0.0239
45.1,0.235,0.429,0.148,0.124,0.0652
37.5,0.274,0.449,0.126,0.102,0.0504
50.7,0.208,0.396,0.154,0.145,0.0977
32.8,0.3,0.481,0.113,0.0753,0.0313
44.3,0.238,0.428,0.143,0.123,0.0682
58.5,0.185,0.367,0.159,0.165,0.124
37.2,0.282,0.466,0.122,0.0871,0.0436
38,0.281,0.466,0.127,0.0892,0.0379
45,0.25,0.434,0.14,0.115,0.0609
51.2,0.216,0.404,0.156,0.14,0.0846
46.3,0.236,0.421,0.146,0.125,0.0717
38.6,0.274,0.467,0.129,0.0902,0.0404
43.7,0.11,0.361,0.181,0.191,0.158
47.5,0.23,0.42,0.147,0.128,0.0746
29.3,0.694,0.249,0.0311,0.0177,0.00761
32.2,0.624,0.266,0.0495,0.0418,0.0189
64.3,0.167,0.347,0.168,0.181,0.136
52,0.21,0.396,0.154,0.144,0.0957
41.4,0.257,0.436,0.141,0.112,0.0538
45.9,0.237,0.42,0.149,0.126,0.0684
61.7,0.166,0.342,0.168,0.188,0.136
46.5,0.224,0.41,0.151,0.137,0.0779
53.3,0.21,0.385,0.155,0.15,0.1
38.3,0.284,0.463,0.12,0.0877,0.045
41.3,0.256,0.446,0.138,0.107,0.0528
29.3,0.597,0.3,0.05,0.0378,0.0153
56.9,0.188,0.367,0.158,0.163,0.123
40.6,0.265,0.447,0.135,0.104,0.0496
33.2,0.297,0.478,0.117,0.0774,0.0306
35.6,0.294,0.478,0.118,0.0777,0.0327
54,0.0317,0.293,0.239,0.222,0.214
53.6,0.2,0.374,0.156,0.156,0.114
32.7,0.311,0.483,0.11,0.0707,0.0248
52.6,0.218,0.405,0.152,0.138,0.0869
35.8,0.278,0.458,0.124,0.0921,0.0474
41.9,0.266,0.434,0.134,0.108,0.0579
31.4,0.307,0.493,0.109,0.068,0.0225
35.6,0.281,0.465,0.125,0.0909,0.038
34.9,0.627,0.26,0.053,0.0432,0.0163
54.3,0.196,0.383,0.16,0.154,0.107
45.1,0.249,0.429,0.138,0.118,0.0652
42.5,0.265,0.432,0.142,0.113,0.0487
30.2,0.325,0.493,0.0993,0.0587,0.0244
47.1,0.231,0.418,0.149,0.129,0.0745
27.7,0.332,0.511,0.0936,0.049,0.0139
52,0.211,0.393,0.154,0.147,0.0945
43.2,0.244,0.429,0.143,0.12,0.0644
51,0.213,0.398,0.153,0.144,0.0914
50.7,0.214,0.392,0.152,0.147,0.094
47,0.239,0.418,0.147,0.127,0.0686
30.8,0.309,0.495,0.108,0.064,0.0246
41.4,0.249,0.445,0.14,0.111,0.0555
55.6,0.118,0.345,0.171,0.194,0.172
46.7,0.238,0.424,0.148,0.123,0.067
51.1,0.223,0.395,0.15,0.141,0.0921
62.7,0.169,0.345,0.17,0.184,0.132
50.7,0.218,0.392,0.151,0.142,0.0959
55.5,0.201,0.388,0.159,0.151,0.1
36.1,0.287,0.461,0.125,0.0878,0.0386
49.2,0.224,0.407,0.152,0.137,0.08
55.4,0.202,0.368,0.154,0.159,0.117
40.4,0.262,0.456,0.131,0.0987,0.0519
38.7,0.337,0.453,0.107,0.0745,0.0288
51.9,0.212,0.403,0.149,0.141,0.0941
34.4,0.305,0.468,0.11,0.0793,0.0374
52,0.203,0.395,0.157,0.146,0.0989
35.5,0.29,0.467,0.119,0.0862,0.0378
36,0.349,0.465,0.1,0.0635,0.0218
39.6,0.272,0.454,0.131,0.0986,0.0437
26.7,0.337,0.506,0.0884,0.0497,0.0182
36,0.29,0.468,0.118,0.0836,0.0406
37.3,0.287,0.454,0.121,0.093,0.0443
45,0.243,0.422,0.141,0.121,0.072
39.3,0.28,0.456,0.124,0.0931,0.0466
36,0.285,0.468,0.124,0.0866,0.0358
34.1,0.29,0.464,0.122,0.0873,0.0363
36.4,0.277,0.455,0.127,0.094,0.0464
31.6,0.319,0.49,0.105,0.0636,0.0222
30.6,0.366,0.476,0.0894,0.051,0.0178
32.6,0.308,0.48,0.109,0.0725,0.0302
39.4,0.278,0.445,0.126,0.1,0.0509
42.8,0.246,0.426,0.142,0.121,0.0653
30.7,0.7,0.242,0.0325,0.0189,0.0073
44.8,0.241,0.417,0.138,0.123,0.0797
44.6,0.238,0.428,0.145,0.12,0.0698
37.8,0.274,0.459,0.128,0.0937,0.0451
59.6,0.113,0.33,0.171,0.198,0.188
32.3,0.629,0.264,0.0492,0.04,0.0184
41.8,0.257,0.436,0.136,0.109,0.0607
37.9,0.258,0.446,0.135,0.108,0.0539
48.1,0.231,0.407,0.148,0.135,0.0798
39.3,0.267,0.461,0.133,0.0962,0.0426
55,0.187,0.37,0.161,0.165,0.117
49.6,0.225,0.407,0.152,0.135,0.0813
42.8,0.257,0.436,0.137,0.113,0.058
35.1,0.296,0.469,0.114,0.08,0.041
42.4,0.262,0.442,0.135,0.105,0.0554
40,0.266,0.446,0.133,0.102,0.0536
50.3,0.284,0.406,0.125,0.116,0.07
35.1,0.295,0.475,0.119,0.0787,0.0323
29.3,0.327,0.492,0.0963,0.0586,0.0264
31.5,0.309,0.495,0.108,0.0639,0.0239
43.3,0.25,0.443,0.139,0.109,0.0582
35.7,0.35,0.465,0.0958,0.0631,0.026
52.6,0.203,0.396,0.155,0.149,0.0971
42.4,0.245,0.433,0.139,0.116,0.0667
35.6,0.278,0.485,0.126,0.0811,0.0304
51.9,0.203,0.389,0.157,0.152,0.0991
42.5,0.253,0.435,0.141,0.115,0.0561
35.5,0.29,0.463,0.12,0.0878,0.0389
38.3,0.274,0.462,0.128,0.0914,0.0443
48.1,0.224,0.408,0.15,0.135,0.0817
36,0.286,0.473,0.12,0.083,0.0374
34.9,0.297,0.471,0.111,0.0778,0.0421
36.6,0.275,0.465,0.127,0.092,0.0419
43.4,0.523,0.291,0.0747,0.0736,0.0369
48.2,0.216,0.401,0.156,0.143,0.0844
43.6,0.252,0.432,0.137,0.114,0.0652
31.5,0.323,0.488,0.104,0.063,0.0229
38.5,0.28,0.461,0.124,0.0908,0.0434
42.8,0.258,0.447,0.136,0.103,0.0556
35.5,0.279,0.469,0.126,0.0885,0.0376
31.6,0.311,0.489,0.109,0.0676,0.0223
57,0.188,0.37,0.163,0.165,0.114
57.1,0.182,0.367,0.162,0.168,0.121
33.3,0.301,0.48,0.112,0.0767,0.0302
53.6,0.207,0.389,0.154,0.146,0.103
55.4,0.199,0.383,0.156,0.152,0.11
54.7,0.202,0.388,0.16,0.152,0.0972
37.4,0.272,0.459,0.128,0.0918,0.0489
60.2,0.172,0.357,0.162,0.173,0.137
46.1,0.238,0.438,0.143,0.114,0.0671
37,0.285,0.467,0.124,0.0865,0.0376
40.4,0.269,0.45,0.129,0.098,0.054
36.3,0.275,0.466,0.13,0.0911,0.0381
31.7,0.594,0.297,0.0527,0.0396,0.0165
32.9,0.302,0.478,0.114,0.0756,0.0301
53.9,0.207,0.393,0.155,0.147,0.0975
42.9,0.248,0.43,0.143,0.118,0.0619
28.4,0.416,0.423,0.0871,0.0605,0.0136
50.7,0.216,0.403,0.155,0.14,0.0857
37.3,0.273,0.461,0.129,0.0923,0.0441
35.1,0.287,0.471,0.125,0.0865,0.031
62.5,0.165,0.347,0.164,0.181,0.143
52.2,0.214,0.401,0.154,0.14,0.0914
53.6,0.21,0.392,0.153,0.148,0.0976
36.6,0.282,0.466,0.123,0.087,0.0418
34.5,0.297,0.477,0.119,0.0775,0.0289
50.1,0.221,0.398,0.148,0.139,0.0939
32.2,0.316,0.493,0.101,0.0609,0.0282
50.1,0.214,0.404,0.152,0.143,0.0879
40.7,0.27,0.457,0.132,0.0975,0.044
53.4,0.207,0.386,0.155,0.151,0.101
42.5,0.268,0.442,0.137,0.104,0.0493
30.4,0.311,0.494,0.105,0.0649,0.0245
36.2,0.281,0.469,0.123,0.0857,0.042
25.5,0.344,0.512,0.0847,0.0438,0.0153
37.8,0.281,0.449,0.125,0.0964,0.049
37.9,0.281,0.457,0.132,0.0947,0.0354
61.7,0.179,0.367,0.16,0.164,0.129
38.1,0.277,0.456,0.13,0.0952,0.0416
42.9,0.255,0.442,0.138,0.107,0.0582
64.5,0.166,0.348,0.166,0.182,0.138
52.5,0.209,0.39,0.157,0.146,0.0978
51.6,0.201,0.381,0.155,0.155,0.107
46.9,0.237,0.422,0.144,0.123,0.0746
34.6,0.288,0.469,0.12,0.0856,0.0367
37.4,0.271,0.463,0.129,0.0941,0.0417
36.6,0.277,0.465,0.127,0.0883,0.0427
40.6,0.271,0.449,0.129,0.0991,0.0521
35.9,0.285,0.467,0.123,0.0882,0.0367
34.1,0.295,0.481,0.117,0.0773,0.0288
27.7,0.331,0.516,0.0922,0.0468,0.0139
43.2,0.252,0.428,0.141,0.115,0.064
30.2,0.321,0.498,0.0997,0.0591,0.022
38.7,0.274,0.46,0.128,0.0939,0.0446
48.1,0.143,0.392,0.172,0.17,0.123
34.8,0.285,0.481,0.118,0.0797,0.0355
45.7,0.241,0.427,0.142,0.122,0.0681
64.1,0.438,0.257,0.0883,0.121,0.0962
41.8,0.252,0.437,0.139,0.113,0.0598
35.5,0.288,0.476,0.122,0.0821,0.0314
29.5,0.318,0.494,0.102,0.0604,0.0252
43.3,0.156,0.421,0.17,0.152,0.101
50.5,0.22,0.395,0.148,0.143,0.0936
46.9,0.232,0.419,0.15,0.128,0.072
47.3,0.219,0.417,0.156,0.136,0.0719
34,0.292,0.469,0.114,0.0816,0.043
41.5,0.255,0.444,0.14,0.107,0.0542
42.6,0.268,0.447,0.134,0.0984,0.0527
63.9,0.174,0.347,0.162,0.177,0.14
48.2,0.226,0.415,0.148,0.131,0.0791
35.3,0.283,0.47,0.12,0.0851,0.0412
39.3,0.285,0.452,0.123,0.0916,0.0483
31.7,0.308,0.486,0.111,0.0689,0.0259
63.4,0.165,0.348,0.166,0.179,0.142
49.9,0.23,0.416,0.15,0.13,0.0741
31.4,0.306,0.487,0.112,0.0703,0.0251
32.8,0.302,0.482,0.113,0.0738,0.0282
40.4,0.269,0.44,0.132,0.106,0.0536
53.9,0.208,0.385,0.153,0.149,0.105
38.8,0.276,0.45,0.129,0.0992,0.0456
39.6,0.277,0.452,0.13,0.0963,0.0445
28.8,0.323,0.503,0.101,0.0551,0.0172
31.1,0.308,0.493,0.105,0.0666,0.0277
34.7,0.289,0.467,0.118,0.0853,0.0402
36.4,0.559,0.294,0.0627,0.0566,0.0274
33.2,0.618,0.267,0.0526,0.0444,0.0188
49,0.216,0.402,0.152,0.141,0.0881
38.7,0.266,0.455,0.133,0.1,0.0466
47.4,0.235,0.414,0.145,0.126,0.0802
34.2,0.286,0.482,0.121,0.0801,0.0301
44.2,0.256,0.433,0.139,0.116,0.0555
42.1,0.256,0.438,0.136,0.109,0.0612
59.4,0.174,0.351,0.167,0.18,0.127
35,0.292,0.473,0.12,0.0814,0.0338
30.8,0.309,0.493,0.104,0.0647,0.0297
45.1,0.227,0.413,0.151,0.133,0.0761
43.2,0.242,0.438,0.143,0.117,0.0596
49,0.222,0.413,0.154,0.133,0.0788
42.3,0.271,0.445,0.136,0.102,0.0457
48,0.146,0.388,0.17,0.168,0.128
43.1,0.257,0.43,0.136,0.115,0.0626
61.8,0.173,0.341,0.161,0.18,0.145
50,0.217,0.396,0.153,0.143,0.0908
41.1,0.266,0.444,0.132,0.103,0.0545
31.2,0.318,0.489,0.104,0.0618,0.0274
41.5,0.262,0.438,0.133,0.107,0.0601
43,0.267,0.442,0.133,0.105,0.0527
43,0.247,0.435,0.14,0.114,0.0642
38.2,0.275,0.456,0.13,0.097,0.0422
42,0.244,0.432,0.143,0.118,0.0633
45.2,0.234,0.414,0.149,0.132,0.0712
29.7,0.318,0.483,0.103,0.0677,0.0282
35.5,0.296,0.464,0.122,0.0852,0.0322
42.7,0.242,0.436,0.145,0.117,0.0601
49.3,0.225,0.412,0.152,0.134,0.0769
46,0.234,0.426,0.152,0.125,0.0625
44.5,0.245,0.428,0.146,0.12,0.0605
40.8,0.25,0.448,0.137,0.106,0.0583
58.2,0.181,0.366,0.162,0.165,0.126
34.9,0.297,0.479,0.114,0.0758,0.0346
46.5,0.147,0.411,0.171,0.163,0.108
29.2,0.65,0.279,0.039,0.0227,0.00971
55.7,0.119,0.352,0.174,0.194,0.161
34.3,0.301,0.477,0.113,0.0748,0.034
42.3,0.257,0.43,0.135,0.114,0.0644
44,0.461,0.314,0.0817,0.0846,0.0588
50.7,0.219,0.397,0.155,0.142,0.0866
35.4,0.282,0.473,0.121,0.0855,0.0385
53.2,0.205,0.389,0.155,0.148,0.103
34.1,0.531,0.327,0.0622,0.0506,0.0283
35.9,0.277,0.467,0.126,0.0882,0.0418